original,translated
herzhaft,fuerte (culinario)
die Zubereitung,la preparación (culinario)
der Anbau,el cultivo
anbauen,cultivar
die Ernte,la cosecha
ernten,cosechar
rein,puro
die Mühe,el trabajo / el esfuerzo
"die Anstrengung, die Bemühung",el esfuerzo x2
das Fertiggericht,la comida preparada
der Wochenmarkt,el mercadillo semanal (una vez por semana)
die Erfindung,el intento
der Erzeuger,el fabricante
die Vielfalt,la diversidad
verzehren,consumir (especialmente comida)
herstellen,elaborar (algo)
verschwenden,desperdiciar
aufbewahren,almacenar
verbrauchen,"gastar (recursos, energía)"
ertragreich,productivo
reiben,rallar (por ejemplo queso)
künstlich,artificial
knackig,crujiente
quatschen,charlar
entspannen,relajarse
die Verteilung,la distribución
"zunehmen, erhöhen",aumentar x2
"abnehmen, sinken",disminuir (intransitivo) x2
senken,descender (transitivo)
sich wenden an,ponerse en contacto con
vorsichtig,cauto
das Auswerten,la evaluación (examinar)
das Bewerten,la evaluación (dar un valor)
auswerten,examinar (datos)
bewerten,emitir un juicio
das Urteil,el juicio
köstlich,exquisito
der Genuss,el placer
der Sieger,el ganador
empfehlenswert,recomendable
belebend,reanimante
beleben,reanimar
die Reibe,el rallador
die Bestandteile,los componentes
das Eiweiß,la proteína
die Kohlenhydrate,los carbohidratos
verweigern,denegar (algo)
der Anspruch,la exigencia
der Spruch,el dicho
zufälligerweise,por un casual
sich lohnen,valer la pena
erstatten,devolver (normalmente dinero)
die Zugausfälle,la anulación de trenes
die Regelungen,la reglamentación (en plural)
die Überschreitung,acto de sobrepasar algo
das Mindesthaltbarkeitsdatum,la fecha de consumo preferente
das Rückgaberecht,el derecho de devolución
der Anteil,la parte
meines Erachtens,a mi juicio
irre,maníaco
die Täuschung,el enganyo
die Verbraucherzentrale,la oficina de atención al consumidor
der Verbraucher,el consumidor
leistbar,asequible
die Aufmerksamkeit,la atención (como interés)
auf Vorrat,por previsión
nach Bedarf,por necesidad
"schlecht werden, ungenießbar werden",ponerse malo (alimento)
die Hülsenfrüchte,las legumbres
das Getreide,el cereal
das Erdbeben,el terremoto
der Schimmel,el moho
vermeiden,evitar
vermeidbar,evitable
unvermeidbar,inevitable
das Verfallsdatum,la fecha de caducidad
die Ware,la mercancía
"stammen aus, kommen aus",proceder de
fordern,exigir
"sich beschweren über, beklagen",quejarse de x2
fördern x3,"promover, fomentar, apoyar"
