original,translated
grübeln,sobrepensar
der Haushalt,el hogar
bedauernswert,lamentable
die Ausnahme,la excepción
schließlich,finalmente
erfordern,requerir
der Zauber,la magia
knapp,escaso
ausgeglichen,igualado
die Befürchtung,el temor
sich lohnen,valer la pena
gerecht,justo
ungerecht,injusto
vorsichtshalber,por si a caso
"vergrößern, steigen, zunehmen",aumentar x3
"abnehmen, sinken",disminuir
überreden,convencer
Lust haben auf,apetecer (+prep)
schwanger,embarazada
die Erziehung,la educación
der Verwandte,el pariente
leiblich,corporal
ungewöhnlich,inusual
die Aufnahme,la grabación
unmittelbar,directamente
die Reichweite,el radio de alcance
die Beleuchtung,la iluminación
beleuchten,iluminar
leuchten,brillar
die Zeile,la línea
scheitern,fracasar (sentido personal)
fehlschlagen,fallar (técnico)
das Fernstudium,estudio online
das Fernweh,la nostalgia por viajar
die Fernbedienung,el control remoto
bedienen,manejar (máquina)
das Fernziel,el objetivo a largo plazo
der Fernfahrer,el camionero
sich etwas gönnen,permitirse algo
verschonen von,librarse de (en el sentido de protección)
leiblicher Bruder,hermano de sangre
der Befürworter,el partidario
lebenslag,de por vida
durchaus,absolutamente
sotoßen auf,toparse con (algo abstracto)
der Kreis,el círculo
keineswegs,de ninguna manera
üblich,habitual
die Sehnsucht,la anyoranza
der Freiraum,el espacio personal (literal y abstracto)
einkehren,instalarse (abstracto)
herumliegen,estar tirado por ahí
aufregen über,enfadarse por
unbekümmert,despreocupado
sachlich,imparcial
Stellung nehmen,dar tu opinión
Besitz nehmen,tomar posesión
erwähnen,mencionar
ermutigen,animar
durchstehen,aguantar
äußern,exteriorizar
unterschätzen,subestimar
unterdrücken,reprimir
der Eindruck,la impresión
hauptsächlich,principalmente
entgegensetzen,contraponer
abraten von,desaconsejar de
das Fazit,la conclusión final
siegen über,vencer a
die Vernunft,la sensatez
sich schützen vor ,protegerse de
schützen vor,proteger de
beschützen vor,proteger de (de forma personal)
die Unterstützung,el apoyo
die Belastung,la carga
der Aufsatz,la redacción
das Erbe,la herencia
die Behinderung,la discapacidad
die Gesellschaft,la sociedad
die Gemeinschaft,la comunidad
