original,translated
die Herkunft,el origen
das Motiv,el motivo
entwerfen,diseñar / proyectar
kommentieren,comentar
die Alternative,la alternativa
die Aufzählung,la enumeración
die Clique,la pandilla
die Eigenschaft,la propiedad / cualidad
die Einschränkung,la limitación
die Fortbildung,la formación continua
der Gegensatz,la oposición / contraste
der Geschmack,el gusto
denselben Geschmack haben,tener el mismo gusto
das Missverständnis,el malentendido
die Neuigkeit,la novedad
Neuigkeiten austauschen,intercambiar novedades
die Umfrage,la encuesta
der Umgang,el trato
jemandem etwas ausmachen,importarle algo a alguien
bezeichnen,nombrar / denominar
gehören zu,pertenecer a
kommunizieren,comunicar
strukturieren,estructurar
sich verabreden,quedar
sich verlassen auf,confiar en
hin- und hergerissen sein,estar indeciso
aus den Augen verlieren,perder de vista
befreundet,amigo / amistoso
befreundet sein mit,ser amigo de
detailliert,detallado
originell,original
gleichzeitig,al mismo tiempo
regelmäßig,regularmente
der Auftrag,el encargo / pedido
in Auftrag geben,encargar
die Daten,los datos
Daten auswerten,analizar datos
Daten erfassen,recopilar datos
der Fakt,el hecho
die Freundschaftsanfrage,la solicitud de amistad
der Nutzer,el usuario
die Redensart,la expresión
ermöglichen,hacer posible
vernetzt sein,estar conectado
mittlerweile,mientras tanto / actualmente
die Ankündigung,el anuncio
der Eindruck,la impresión
den Eindruck haben,tener la impresión
die Gesprächsrunde,la mesa redonda
der Ratgeber,el consejero / guía
die Verwirrung,la confusión
auffallen,llamar la atención
feststellen,constatar / darse cuenta
der Lebensabschnitt,la etapa de la vida
die Lebensphase,la fase de la vida
der Teenager,el adolescente
die Handlung,la trama / acción
der Einblick,la visión / perspectiva
die Empfehlung,la recomendación
das Feedback,la retroalimentación
die Folie,la diapositiva
das Material,el material
die Musikveranstaltung,el evento musical
der Schauspieler,el actor
das Stichwort,la palabra clave
die Sportart,el deporte
das Sportereignis,el evento deportivo
einfügen,insertar
empfehlen,recomendar
gestalten,diseñar / organizar
passend,adecuado
sinnvoll,sensato / con sentido
übersichtlich,claro / bien organizado
der Blogger,el bloguero
der Glückwunsch,la felicitación
die Grußkarte,la tarjeta de felicitación
formulieren,formular / redactar
gratulieren,felicitar
einen Vorschlag machen,hacer una propuesta
sich Mühe machen,esforzarse
Wert legen auf,dar importancia a
kreativ,creativo
das Bedürfnis,la necesidad
die Beziehung,la relación
eine Beziehung haben,tener una relación
die Dankbarkeit,la gratitud
der Komiker,el comediante
der Besen,la escoba
sorgen für,ocuparse de / asegurar
sich vertraut machen mit,familiarizarse con
mental,mental
oberflächlich,superficial
