original,translated,example,note
Auftreten ,presencia,,
Ehre,honor,,
beherrschen,dominar,,
sämtlich,todos,,
Einschränkung,limitación,,
merkwürdig,curioso,,
Eigenheit,particularidad,,
verzögern,retrasar,,
Aufstieg,ascenso,,
Begabung,talento,,
Gaudium,alegría,,
Ruhm,gloria,,
Habgier,avidez,,
Sinn für das Lächersinne,sentido del humor,,
plump,grosero,,
begeistert,entusiasmado,,
Absicht,intención,,
vermeiden,evitar,,
eilig,deprisa,,
Steward,azafato,,
Ereignis,evento,,
sachlich,objetivo (imparcial),,
Niederlage,derrota,,
erstaunlich,alucinante,,
aufgeregt,agitado,,
Angriff,ataque,,
Überlegenheit,superioridad,,
verwirrend,desconcertador,,
Remis ,empate,,
verteidigen,defender,,
zögern,detenerse,,
allmählich,poco a poco,,
rein ,puro,,
geschäftlich,comercial,,
"Erregung, Erregheit",Excitación (x2),,
Betracht,consideración,,
ungehörig,inconveniente,,
gewiß,cierto,,
Faust,punyo,,
absichtlich,a propósito,,
Verfügung,disposición,,
großmütig,generoso,,
Ausflucht,escapatoria,,
Versagen (x2),"fallo, fracaso",,
heftig,impetuoso,,
Verlangen,apetencia,,
Eingreifen,intervención,,
erörtern,debatir,,
Weise,manera,,
verwegen,audaz,,
Gelegenheit,ocasión,,
betrachten,observar,,
Ermüdung,cansancio,,
Herausforderung,desafío,,
verblüfft,atónito,,
ruhmreich,glorioso,,
bestanden,aprobado,,
Gegner,adversario,,
tatsächlich,en realidad,,
Feinfühligkeit,sensibilidad,,
Aufrichtigkeit,sinceridad,,
Verwunderung,asombro,,
beschäftig,ocupado,,
Umstand,circunstancia,,
Geduld ,paciencia,,
Kloster,convento,,
Verwaltung,administración,,
erfordern,requerir (algo),,
besitzen,poseer,,
Verläßligkeit,fiabilidad,,
Eigenshaft,cualidad,,
gelungen,exitosamente,,
Umsturz,revolución,,
beträchlich,considerable (mente),,
Besitz,posesión,,
unauffällig,inadvertido,,
Behörde,agencia del gobierno,,
unscheinbar,opaco,,
Botengang,recado,,
eigenhändig,personal,,
wesentlich,esencial,,
Vorgang,proceso,,
Lässigkeit,desenvoltura,,
Unvorsichtigkeit,descuido,,
"Verhör, Vernehmung",interrogatorio (x2),,
Verdacht,sospecha,,
Bemerkung,comentario,,
erwägen,considerar,,
errechnen,calcular,,
tückisch,malicioso,,
Einsamkeit,soledad,,
auswendig,de memoria,,
Gedächtnis,memoria,,
zerstören,destrozar,,
irre,maníaco,,
ereignen,producirse,,
Rettung,salvación,,
Gier (x2),"ansia, avidez",,
Betäubung,anestesia,,
Aussage,declaración,,
Einzelheit,detalle,,
künstlich,artificial,,
Betttuch,sábana,,
jeweilig,correspondiente,,
zufällig,por casualidad,,
Krümel,migaja,,
Bemühen,esfuerzo (s),,kein plural
lächerlich,ridículo,,
verwirrten,confundirse,,
unablässig,constante,,
entbehrlich,prescindible,,
unermeßlich,inmenso,,
frech,descarado,,
Diebstahl,hurto,,
bewahren,conservar,,
Verteidigung,defensa,,
feststellen,notar (algo),,
unerchütterlich,imperturbable,,
Widerstand,resistencia,,
Reiz,atractivo,,
Überlegung,reflexión,,
fürchterlich,terrible,,
gewaltsam,violento (a la fuerza),,
unterdrücken,reprimir,,
Anspannung,nerviosidad (tensión),,
zwingen,obligar,,
Leistung,rendimiento,,
Augenblick,instante,,
Besessenheit,obsesión,,
Erscheinung,aparición,,
gütig,bondadoso,,
Entlassung,puesta en libertad,,
begreifen,comprender,,
Zugriff,acceso,,
nachträglich,con posterioridad,,
endgültig,definitivo,,
Erledigung,desempenyo,,
wahrnehmen,darse cuenta de,,
hauptsächlich,principalmente,,
Ansprung,arranque,,
verwundert,maravillado,,
Feststellung,constatación,,
Begesiterung,entusiasmo,,
Unbehagen,malestar,,
Spannung,emoción,,
Feind,enemigo,,
unbehrrescht,descontrolado,,
Benehmen,comportamiento,,
sonderbar,extranyo,,
Anschein,apariencia,,
Anteil,parte,,
Heftigkeit,fervor,,
begabt,talentoso,,
verwirrt,confuso,,
